date,trip_count
2023-07-01,843
2023-07-02,825
2023-07-03,929
2023-07-04,673
2023-07-05,1234
2023-07-06,1209
2023-07-07,1110
2023-07-08,754
2023-07-09,831
2023-07-10,1219
2023-07-11,1164
2023-07-12,1270
2023-07-13,1355
2023-07-14,1224
2023-07-15,1024
2023-07-16,835
2023-07-17,1258
2023-07-18,1251
2023-07-19,1224
2023-07-20,1276
2023-07-21,1080
2023-07-22,772
2023-07-23,822
2023-07-24,1180
2023-07-25,1246
2023-07-26,1214
2023-07-27,1326
2023-07-28,1199
2023-07-29,869
2023-07-30,899
2023-07-31,1168
2023-08-01,3
