date,fhv,hvfhv,green_taxi,yellow_taxi
2023-07-02,-0.14894001797736775,-0.11991157484098725,-0.021583571667174516,-0.19411909752247836
2023-07-03,0.12299470977639378,-0.19122430004454077,0.11872535247915747,-0.07280799980856963
2023-07-04,-0.17256157301399813,-0.04974997228150816,-0.32236340916911066,-0.1536187479445496
2023-07-05,0.362763596524033,0.15620628464174188,0.6062708748206053,0.4322665738140385
2023-07-06,0.09256410157237518,0.10039827800036753,-0.020467353850540458,0.11554702514186263
2023-07-07,-0.04970720190619706,0.1152486881234953,-0.08543355630841284,-0.020477852749682106
2023-07-08,-0.04156030305016926,0.10506585440439387,-0.3867229262984238,0.00731724310240274
2023-07-09,-0.25423413838424086,-0.11536411828253737,0.09723742684749204,-0.16991888460882681
2023-07-10,0.18586581152048365,-0.1766410663703195,0.3831563346258234,0.0952134947584718
2023-07-11,0.24679503939617065,0.15095367838584683,-0.046168501189888425,0.19359420313393147
2023-07-12,0.027267126340339506,0.10407798874984296,0.08715455116125373,0.0851580341667441
2023-07-13,0.04436003207496613,0.06625647228650654,0.06478455386116441,0.026642841288114606
2023-07-14,-0.10946129942885152,0.019705512261713458,-0.10167727024152991,-0.14317163355336868
2023-07-15,-0.169846917358484,0.08346063532830189,-0.17840765747281825,0.026412207768510512
2023-07-16,-0.11362225741442397,-0.20205628824233868,-0.2040400807485976,-0.27641767026321107
2023-07-17,0.11861311788218211,-0.14500767342530946,0.4098467124095304,0.1457100717093309
2023-07-18,0.2043148936312736,0.14101395880950307,-0.00557992679347465,0.16688736802987109
2023-07-19,0.012101801586571361,0.047419428563103515,-0.021819047394639725,0.05132171617655387
2023-07-20,0.03570870332278309,0.0329865553977602,0.041606000832463866,0.011709427280824011
2023-07-21,-0.09008783280545712,0.04014171508350187,-0.16676914378646984,-0.1192493226612909
2023-07-22,-0.04946778574372594,0.04304525832107274,-0.33573177009348926,0.012750227686235165
2023-07-23,-0.2688801084693811,-0.17276097723989023,0.06275584503140376,-0.19122622692588495
2023-07-24,0.20204555687061865,-0.16485586080350062,0.36152932240353053,0.03778101450001901
2023-07-25,0.21127889723944204,0.17873620983590613,0.05442398188768791,0.17477956179509016
2023-07-26,-0.021009721043868335,0.011147980431602363,-0.026017727727954913,0.05207646497488767
2023-07-27,0.07350865386032152,0.11685778175428947,0.08824619912636422,0.048150055621662295
2023-07-28,-0.15968635010137378,-0.0009028267519725243,-0.10067901571829356,-0.11044345569462538
2023-07-29,0.0005712653682922083,0.04985516912551106,-0.32190002976212223,-0.031498223939461154
2023-07-30,-0.27013279670687823,-0.20951302582517792,0.03393990920622816,-0.167690349270893
2023-07-31,0.16451842561835567,-0.1753288373463918,0.261765128916552,-0.017319165767824794
