service_a,service_b,n_days,pearson_r,p_value,p_value_fdr_bh
fhv,hvfhv,30,0.33087483352819774,0.07410603310195094,0.08892723972234112
fhv,green_taxi,30,0.5650398726632591,0.0011406392122966858,0.0022812784245933716
fhv,yellow_taxi,30,0.8404034360047936,6.2412332875541125e-09,3.744739972532467e-08
hvfhv,green_taxi,30,-0.24624802409659233,0.1896036721060556,0.18960367210605558
hvfhv,yellow_taxi,30,0.5926258372211191,0.0005591393858738082,0.0016774181576214246
green_taxi,yellow_taxi,30,0.4973564752212938,0.0051688272916460675,0.007753240937469101
