date,trip_count
2023-07-01,2616
2023-07-02,2254
2023-07-03,2549
2023-07-04,2145
2023-07-05,3083
2023-07-06,3382
2023-07-07,3218
2023-07-08,3087
2023-07-09,2394
2023-07-10,2883
2023-07-11,3690
2023-07-12,3792
2023-07-13,3964
2023-07-14,3553
2023-07-15,2998
2023-07-16,2676
2023-07-17,3013
2023-07-18,3696
2023-07-19,3741
2023-07-20,3877
2023-07-21,3543
2023-07-22,3372
2023-07-23,2577
2023-07-24,3154
2023-07-25,3896
2023-07-26,3815
2023-07-27,4106
2023-07-28,3500
2023-07-29,3502
2023-07-30,2673
2023-07-31,3151
