station_complex_id,date,ridership
8,2023-01-01,8909
8,2023-01-02,7475
8,2023-01-03,9291
8,2023-01-04,10697
8,2023-01-05,10391
8,2023-01-06,8739
8,2023-01-07,6272
8,2023-01-08,4848
8,2023-01-09,8628
8,2023-01-10,9816
8,2023-01-11,9818
8,2023-01-12,9309
8,2023-01-13,8332
8,2023-01-14,5767
8,2023-01-15,4535
8,2023-01-16,6754
8,2023-01-17,9215
8,2023-01-18,9856
8,2023-01-19,9247
8,2023-01-20,8390
8,2023-01-21,5904
8,2023-01-22,4116
8,2023-01-23,8077
8,2023-01-24,9933
8,2023-01-25,9582
8,2023-01-26,9794
8,2023-01-27,8482
8,2023-01-28,6452
8,2023-01-29,4452
8,2023-01-30,8674
8,2023-01-31,9608
8,2023-02-01,9570
8,2023-02-02,9527
8,2023-02-03,7703
8,2023-02-04,4505
8,2023-02-05,5237
8,2023-02-06,9141
8,2023-02-07,9761
8,2023-02-08,9713
8,2023-02-09,9721
8,2023-02-10,8984
8,2023-02-11,6911
8,2023-02-12,4913
8,2023-02-13,9075
8,2023-02-14,10397
8,2023-02-15,10162
8,2023-02-16,9570
8,2023-02-17,7801
8,2023-02-18,7411
8,2023-02-19,5995
8,2023-02-20,7986
8,2023-02-21,9583
8,2023-02-22,9578
8,2023-02-23,9604
8,2023-02-24,9036
8,2023-02-25,5701
8,2023-02-26,5017
8,2023-02-27,8864
8,2023-02-28,8831
8,2023-03-01,9384
8,2023-03-02,9684
8,2023-03-03,8459
8,2023-03-04,5367
8,2023-03-05,5017
8,2023-03-06,9084
8,2023-03-07,10127
8,2023-03-08,10272
8,2023-03-09,10304
8,2023-03-10,8641
8,2023-03-11,6250
8,2023-03-12,5978
8,2023-03-13,8621
8,2023-03-14,9585
8,2023-03-15,10830
8,2023-03-16,11306
8,2023-03-17,11768
8,2023-03-18,6938
8,2023-03-19,5465
8,2023-03-20,9143
8,2023-03-21,10672
8,2023-03-22,10007
8,2023-03-23,9268
8,2023-03-24,8898
8,2023-03-25,5248
8,2023-03-26,8584
8,2023-03-27,8936
8,2023-03-28,10202
8,2023-03-29,10073
8,2023-03-30,9955
8,2023-03-31,8954
8,2023-04-01,7141
8,2023-04-02,7734
8,2023-04-03,9974
8,2023-04-04,11614
8,2023-04-05,10148
8,2023-04-06,11174
8,2023-04-07,9765
8,2023-04-08,7632
8,2023-04-09,7797
8,2023-04-10,10758
8,2023-04-11,12042
8,2023-04-12,12465
8,2023-04-13,12694
8,2023-04-14,11477
8,2023-04-15,7628
8,2023-04-16,6613
8,2023-04-17,9247
8,2023-04-18,10357
8,2023-04-19,10849
8,2023-04-20,11056
8,2023-04-21,10911
8,2023-04-22,9112
8,2023-04-23,7035
8,2023-04-24,10162
8,2023-04-25,10997
8,2023-04-26,11015
8,2023-04-27,11112
8,2023-04-28,10132
8,2023-04-29,5252
8,2023-04-30,5630
8,2023-05-01,10857
8,2023-05-02,10970
8,2023-05-03,10767
8,2023-05-04,10652
8,2023-05-05,9752
8,2023-05-06,8421
8,2023-05-07,7237
8,2023-05-08,10339
8,2023-05-09,11143
8,2023-05-10,11799
8,2023-05-11,11797
8,2023-05-12,10332
8,2023-05-13,8861
8,2023-05-14,7300
8,2023-05-15,10290
8,2023-05-16,11884
8,2023-05-17,11951
8,2023-05-18,11319
8,2023-05-19,10532
8,2023-05-20,5671
8,2023-05-21,8995
8,2023-05-22,10209
8,2023-05-23,11691
8,2023-05-24,11648
8,2023-05-25,11199
8,2023-05-26,9936
8,2023-05-27,9231
8,2023-05-28,8619
8,2023-05-29,8057
8,2023-05-30,10874
8,2023-05-31,11563
8,2023-06-01,12282
8,2023-06-02,9877
8,2023-06-03,8036
8,2023-06-04,8212
8,2023-06-05,10444
8,2023-06-06,11382
8,2023-06-07,10552
8,2023-06-08,9917
8,2023-06-09,9651
8,2023-06-10,9234
8,2023-06-11,8375
8,2023-06-12,9692
8,2023-06-13,12521
8,2023-06-14,11251
8,2023-06-15,12036
8,2023-06-16,8898
8,2023-06-17,9102
8,2023-06-18,7749
8,2023-06-19,9164
8,2023-06-20,11503
8,2023-06-21,11401
8,2023-06-22,10469
8,2023-06-23,9341
8,2023-06-24,8271
8,2023-06-25,7362
8,2023-06-26,9566
8,2023-06-27,10977
8,2023-06-28,10798
8,2023-06-29,11116
8,2023-06-30,9195
8,2023-07-01,12
8,2023-07-02,13
8,2023-07-03,7595
8,2023-07-04,4880
8,2023-07-05,9769
8,2023-07-06,10286
8,2023-07-07,9171
8,2023-07-08,7080
8,2023-07-09,5273
8,2023-07-10,9888
8,2023-07-11,11066
8,2023-07-12,12180
8,2023-07-13,11278
8,2023-07-14,9377
8,2023-07-15,10
8,2023-07-16,51
8,2023-07-17,9492
8,2023-07-18,10501
8,2023-07-19,10666
8,2023-07-20,11115
8,2023-07-21,8821
8,2023-07-22,35
8,2023-07-23,13
8,2023-07-24,9900
8,2023-07-25,10482
8,2023-07-26,10457
8,2023-07-27,10077
8,2023-07-28,8404
8,2023-07-29,19
8,2023-07-30,6
8,2023-07-31,8921
8,2023-08-01,10211
8,2023-08-02,10202
8,2023-08-03,10762
8,2023-08-04,8375
8,2023-08-05,7443
8,2023-08-06,6571
8,2023-08-07,8766
8,2023-08-08,10199
8,2023-08-09,10561
8,2023-08-10,9384
8,2023-08-11,9324
8,2023-08-12,8083
8,2023-08-13,7541
8,2023-08-14,9056
8,2023-08-15,10167
8,2023-08-16,9547
8,2023-08-17,9665
8,2023-08-18,8866
8,2023-08-19,8464
8,2023-08-20,7392
8,2023-08-21,8601
8,2023-08-22,9555
8,2023-08-23,10087
8,2023-08-24,9138
8,2023-08-25,7907
8,2023-08-26,8852
8,2023-08-27,7464
8,2023-08-28,9259
8,2023-08-29,10563
8,2023-08-30,10246
8,2023-08-31,10541
8,2023-09-01,10140
