station_complex_id,date,ridership
8,2023-01-01,1710
9,2023-01-01,3943
10,2023-01-01,701
13,2023-01-01,1112
14,2023-01-01,1020
16,2023-01-01,1215
17,2023-01-01,729
20,2023-01-01,212
22,2023-01-01,154
103,2023-01-01,766
107,2023-01-01,177
118,2023-01-01,771
119,2023-01-01,1755
143,2023-01-01,134
144,2023-01-01,87
145,2023-01-01,51
146,2023-01-01,144
147,2023-01-01,133
149,2023-01-01,97
150,2023-01-01,95
151,2023-01-01,483
152,2023-01-01,93
153,2023-01-01,609
154,2023-01-01,184
155,2023-01-01,183
156,2023-01-01,168
157,2023-01-01,183
158,2023-01-01,333
159,2023-01-01,522
160,2023-01-01,2298
162,2023-01-01,3526
164,2023-01-01,4554
165,2023-01-01,1186
167,2023-01-01,3480
168,2023-01-01,564
169,2023-01-01,733
220,2023-01-01,55
222,2023-01-01,337
223,2023-01-01,768
224,2023-01-01,2148
225,2023-01-01,5119
228,2023-01-01,1079
231,2023-01-01,1387
232,2023-01-01,2435
234,2023-01-01,995
276,2023-01-01,613
277,2023-01-01,1503
296,2023-01-01,118
297,2023-01-01,40
298,2023-01-01,128
299,2023-01-01,155
300,2023-01-01,150
301,2023-01-01,204
303,2023-01-01,241
304,2023-01-01,359
305,2023-01-01,312
306,2023-01-01,216
307,2023-01-01,155
308,2023-01-01,377
309,2023-01-01,307
310,2023-01-01,807
311,2023-01-01,631
312,2023-01-01,581
313,2023-01-01,1796
314,2023-01-01,1039
316,2023-01-01,1550
318,2023-01-01,4286
319,2023-01-01,905
320,2023-01-01,752
321,2023-01-01,420
323,2023-01-01,1368
324,2023-01-01,1268
325,2023-01-01,361
326,2023-01-01,336
327,2023-01-01,466
328,2023-01-01,198
329,2023-01-01,213
333,2023-01-01,404
392,2023-01-01,415
393,2023-01-01,193
394,2023-01-01,206
395,2023-01-01,177
396,2023-01-01,255
397,2023-01-01,648
398,2023-01-01,592
399,2023-01-01,760
403,2023-01-01,872
404,2023-01-01,984
405,2023-01-01,926
407,2023-01-01,1173
409,2023-01-01,1120
413,2023-01-01,383
414,2023-01-01,467
436,2023-01-01,38
437,2023-01-01,28
438,2023-01-01,271
439,2023-01-01,249
440,2023-01-01,227
441,2023-01-01,208
471,2023-01-01,1196
475,2023-01-01,312
476,2023-01-01,604
477,2023-01-01,577
601,2023-01-01,2490
602,2023-01-01,3752
605,2023-01-01,358
607,2023-01-01,7701
609,2023-01-01,5777
610,2023-01-01,3734
611,2023-01-01,15590
612,2023-01-01,1689
613,2023-01-01,1845
614,2023-01-01,6649
618,2023-01-01,3551
619,2023-01-01,2409
622,2023-01-01,1775
623,2023-01-01,1697
624,2023-01-01,1323
625,2023-01-01,3428
628,2023-01-01,2453
635,2023-01-01,793
