GTFS Stop ID,Stop Name,Borough,zone
G10,63 Dr-Rego Park,Q,Rego Park
A28,34 St-Penn Station,M,Garment District
H12,Beach 90 St,Q,Hammels/Arverne
126,50 St,M,Times Sq/Theatre District
120,96 St,M,Upper West Side North
A45,Franklin Av,Bk,Clinton Hill
630,51 St,M,Midtown East
N02,8 Av,Bk,Sunset Park East
S13,Richmond Valley,SI,Charleston/Tottenville
235,Atlantic Av-Barclays Ctr,Bk,Fort Greene
247,Flatbush Av-Brooklyn College,Bk,Flatbush/Ditmas Park
401,Woodlawn,Bx,Norwood
D17,34 St-Herald Sq,M,Penn Station/Madison Sq West
505,Morris Park,Bx,Pelham Parkway
L01,8 Av,M,East Chelsea
718,Queensboro Plaza,Q,Long Island City/Hunters Point
612,Whitlock Av,Bx,Hunts Point
M12,Flushing Av,Bk,Bushwick South
S28,Clifton,SI,Stapleton
228,Park Place,M,TriBeCa/Civic Center
220,Jackson Av,Bx,Melrose South
D07,Tremont Av,Bx,Mount Hope
L08,Bedford Av,Bk,Williamsburg (North Side)
B06,Roosevelt Island,M,Roosevelt Island
J15,Woodhaven Blvd,Q,Woodhaven
S18,Eltingville,SI,Great Kills
F14,2 Av,M,East Village
253,Rockaway Av,Bk,Brownsville
