analysis,correlation
Overall,-0.16426814368941234
Monday,0.6305628753236042
Tuesday,0.7506747671348495
Wednesday,0.7376306142734244
Thursday,0.7045713539651682
Friday,0.5752946344632647
Saturday,0.06930772186015995
Sunday,0.3579149592886958
Weekday,0.3220831661410562
Weekend,0.6087007979567355
January,-0.3192511626411831
February,-0.3972790675341124
March,-0.34099354754426764
April,-0.376237701073902
May,-0.255007260959287
June,-0.3385678420949196
July,-0.20854463477969515
August,-0.3815273876792827
September,-0.30468891131907666
October,-0.41057227490442266
November,-0.055723749158643365
December,0.35701727083229556
