GEOID,NAMELSAD,ALAND,area_km2,C000,job_density,log_density,INTPTLAT,INTPTLON
060730100132,Block Group 2,269440,0.26944,129.0,478.77078384798097,6.173308456196392,+32.5536152,-117.0429162
060730101033,Block Group 3,380756,0.380756,175.0,459.6119299498892,6.1325558879410655,+32.5798162,-117.1012081
060730101042,Block Group 2,648391,0.648391,115.0,177.36211637730935,5.183815845450873,+32.5728387,-117.0970076
060730101032,Block Group 2,461976,0.461976,363.0,785.7551041612552,6.667917023576798,+32.5804290,-117.0958414
060730101061,Block Group 1,736442,0.736442,1100.0,1493.6682046922906,7.309659524532527,+32.5724954,-117.0705189
060730101062,Block Group 2,325164,0.325164,142.0,436.70271001709904,6.081539935672083,+32.5735819,-117.0778378
060730101063,Block Group 3,276009,0.276009,56.0,202.89193468328932,5.317590121542019,+32.5679023,-117.0707483
060730124022,Block Group 2,325357,0.325357,1406.0,4321.406946830712,8.371567689698358,+32.6430381,-117.0873525
060730101071,Block Group 1,1419007,1.419007,281.0,198.02580255065692,5.293434477377802,+32.5861226,-117.0803213
060730101072,Block Group 2,370600,0.3706,108.0,291.4193200215866,5.678188799638071,+32.5821848,-117.0764423
060730101073,Block Group 3,281404,0.281404,178.0,632.5425367087888,6.451327143061553,+32.5784822,-117.0792245
060730101101,Block Group 1,531683,0.531683,192.0,361.1174327559843,5.891968559097917,+32.5796988,-117.0890474
060730101102,Block Group 2,327288,0.327288,125.0,381.9266212021216,5.947843381274427,+32.5728373,-117.0862389
060730101104,Block Group 4,80603,0.080603,164.0,2034.6637221939632,7.6185771981125,+32.5691593,-117.0906046
060730101105,Block Group 5,952774,0.952774,228.0,239.30124037809597,5.48189330451893,+32.5634746,-117.0883263
060730117004,Block Group 4,224632,0.224632,446.0,1985.4695680045586,7.594114255733615,+32.6754422,-117.1029962
060730118011,Block Group 1,326203,0.326203,275.0,843.0333258737656,6.738191979448843,+32.6787023,-117.1034839
060730118012,Block Group 2,163678,0.163678,34.0,207.72492332506508,5.341017228730926,+32.6812926,-117.1044966
060730117003,Block Group 3,428150,0.42815,1277.0,2982.5995562302933,8.000885755344669,+32.6725156,-117.1006702
060730118021,Block Group 1,326098,0.326098,110.0,337.3219093646695,5.823997836813091,+32.6810061,-117.0953082
