w_geocode,segment,year,C000,CE01,CE02,CE03
060730004001001,S000,2023,24,2,6,16
060730004001002,S000,2023,10,2,5,3
060730004001003,S000,2023,15,3,9,3
060730004001004,S000,2023,32,14,14,4
060730004001005,S000,2023,146,43,36,67
060730004001006,S000,2023,59,20,28,11
060730004001007,S000,2023,844,118,127,599
060730004001008,S000,2023,606,92,194,320
060730004001009,S000,2023,291,51,103,137
060730004001010,S000,2023,109,30,42,37
060730004001011,S000,2023,68,23,10,35
060730004001012,S000,2023,182,31,82,69
060730004002000,S000,2023,12475,2097,1625,8753
060730004002001,S000,2023,30,4,11,15
060730004002002,S000,2023,3,1,2,0
060730004002006,S000,2023,5,0,1,4
060730004002007,S000,2023,300,35,52,213
060730004002008,S000,2023,117,29,48,40
060730004003000,S000,2023,16,4,6,6
060730004003001,S000,2023,4,2,0,2
060730004003003,S000,2023,4,0,2,2
060730004003004,S000,2023,790,47,126,617
060730004003005,S000,2023,91,21,38,32
060730004004000,S000,2023,4312,194,571,3547
060730004004001,S000,2023,4,0,0,4
060730004004002,S000,2023,6,0,0,6
060730005001000,S000,2023,3,0,2,1
060730005001001,S000,2023,2,0,0,2
060730005001002,S000,2023,9,1,4,4
060730005001003,S000,2023,7,1,4,2
060730005001004,S000,2023,2,1,0,1
060730005001006,S000,2023,2,0,0,2
060730005001007,S000,2023,129,29,54,46
060730005001010,S000,2023,3,0,0,3
060730005002000,S000,2023,71,13,21,37
060730005002001,S000,2023,24,4,12,8
060730005002002,S000,2023,36,0,1,35
060730005002003,S000,2023,4,2,1,1
060730005002004,S000,2023,24,8,4,12
060730005002005,S000,2023,1,0,0,1
060730005003000,S000,2023,143,23,61,59
060730005003001,S000,2023,4,0,1,3
060730005003002,S000,2023,9,2,6,1
060730005003003,S000,2023,3,0,2,1
060730005003004,S000,2023,7,0,1,6
060730006001000,S000,2023,2987,346,677,1964
060730006001001,S000,2023,15,0,5,10
060730006001002,S000,2023,4,0,3,1
060730006001004,S000,2023,2,2,0,0
060730006001005,S000,2023,3,2,1,0
060730006001006,S000,2023,3,0,1,2
060730006002000,S000,2023,14,3,6,5
060730006002001,S000,2023,3,0,2,1
060730006002002,S000,2023,2,0,0,2
060730006002006,S000,2023,6,3,2,1
060730006002007,S000,2023,1,1,0,0
060730006002008,S000,2023,1,0,0,1
060730006003000,S000,2023,38,11,21,6
060730006003001,S000,2023,206,61,52,93
060730006003002,S000,2023,10,1,2,7
060730006003003,S000,2023,62,13,24,25
060730006003004,S000,2023,20,0,2,18
060730006003005,S000,2023,64,16,14,34
060730006003006,S000,2023,919,389,278,252
060730006003007,S000,2023,278,57,106,115
060730006003009,S000,2023,17,13,4,0
060730006003010,S000,2023,88,1,9,78
060730006003011,S000,2023,13,5,2,6
060730006003012,S000,2023,55,8,12,35
060730006003013,S000,2023,180,108,45,27
060730006003014,S000,2023,61,16,21,24
060730006003015,S000,2023,63,21,18,24
060730007001000,S000,2023,102,24,55,23
060730007001001,S000,2023,149,54,54,41
060730007001002,S000,2023,23,1,1,21
060730007001005,S000,2023,14,4,5,5
060730007001006,S000,2023,5,1,0,4
060730007001007,S000,2023,3,0,0,3
060730007001008,S000,2023,1,1,0,0
060730007001009,S000,2023,10,3,7,0
060730007001010,S000,2023,10,6,0,4
060730007001011,S000,2023,2,0,1,1
060730007002000,S000,2023,248,32,68,148
060730007002001,S000,2023,13,3,6,4
060730007002002,S000,2023,156,48,65,43
060730007002003,S000,2023,6,0,3,3
060730007002004,S000,2023,13,0,5,8
060730007002005,S000,2023,1,0,1,0
060730007002006,S000,2023,6,0,2,4
060730007002007,S000,2023,5,0,1,4
060730007003000,S000,2023,28,11,12,5
060730007003001,S000,2023,53,22,26,5
060730007003002,S000,2023,2,0,0,2
060730007003004,S000,2023,5,4,0,1
060730007003005,S000,2023,5,3,0,2
060730007003008,S000,2023,5,1,4,0
060730007003009,S000,2023,1,0,1,0
060730008001000,S000,2023,6,0,5,1
060730008001001,S000,2023,67,16,32,19
060730008001002,S000,2023,29,2,15,12
060730008001003,S000,2023,2,1,1,0
060730008001004,S000,2023,1,0,0,1
060730008001005,S000,2023,1,1,0,0
060730008001006,S000,2023,45,10,19,16
060730008001007,S000,2023,2,1,0,1
060730008002001,S000,2023,2,0,0,2
060730008002002,S000,2023,3,0,3,0
060730008002003,S000,2023,3,0,0,3
060730008002005,S000,2023,25,13,8,4
060730008002006,S000,2023,2,0,0,2
060730008003000,S000,2023,17,8,4,5
060730008003001,S000,2023,5,3,2,0
060730008003002,S000,2023,1,0,0,1
060730008003003,S000,2023,17,5,5,7
060730008003004,S000,2023,1,1,0,0
060730008003005,S000,2023,28,21,5,2
060730008003006,S000,2023,2,0,0,2
060730008003007,S000,2023,1,0,0,1
060730008003009,S000,2023,5,0,2,3
060730008003010,S000,2023,1,0,0,1
060730008004000,S000,2023,53,13,19,21
060730008004001,S000,2023,1,0,0,1
060730008004002,S000,2023,2,0,2,0
060730008004003,S000,2023,10,4,2,4
060730008004004,S000,2023,64,15,30,19
060730008005000,S000,2023,1,1,0,0
060730008005003,S000,2023,27,9,8,10
060730008005005,S000,2023,1,0,1,0
060730008005006,S000,2023,1,0,0,1
060730009011000,S000,2023,62,11,26,25
060730009011001,S000,2023,115,48,49,18
060730009011002,S000,2023,41,10,14,17
060730009011003,S000,2023,26,13,11,2
060730009011004,S000,2023,3,2,1,0
060730009011005,S000,2023,2,2,0,0
