w_geocode,segment,year,C000,CE01,CE02,CE03
060730057002007,S000,2023,414,104,80,230
060730057002008,S000,2023,129,8,15,106
060730057002009,S000,2023,36,17,16,3
060730057002010,S000,2023,31,3,15,13
060730058011000,S000,2023,150,26,49,75
060730058011001,S000,2023,68,8,23,37
060730058011002,S000,2023,216,30,63,123
060730058011003,S000,2023,790,115,237,438
060730058011004,S000,2023,29,6,3,20
060730058011005,S000,2023,53,13,25,15
060730058011006,S000,2023,4,2,0,2
060730058011007,S000,2023,79,16,24,39
060730058011008,S000,2023,201,45,84,72
060730058011009,S000,2023,83,3,13,67
060730058011010,S000,2023,172,12,67,93
060730058011011,S000,2023,31,3,10,18
060730058011012,S000,2023,232,24,42,166
060730058012001,S000,2023,165,22,62,81
060730058012004,S000,2023,23,7,10,6
060730058012005,S000,2023,96,4,12,80
060730058012006,S000,2023,123,20,30,73
060730058012009,S000,2023,19,5,13,1
060730058012010,S000,2023,78,17,34,27
060730058012011,S000,2023,123,16,43,64
060730058012012,S000,2023,48,11,26,11
060730058012013,S000,2023,44,0,20,24
060730058012015,S000,2023,59,14,39,6
060730058012016,S000,2023,414,89,182,143
060730058012017,S000,2023,31,6,13,12
060730058021000,S000,2023,9,1,2,6
060730058021001,S000,2023,1227,7,26,1194
060730058021002,S000,2023,17,1,1,15
060730058021004,S000,2023,11,2,8,1
060730058021005,S000,2023,45,2,14,29
060730058021006,S000,2023,100,19,42,39
060730058021008,S000,2023,170,14,29,127
060730058021009,S000,2023,48,8,22,18
060730058021010,S000,2023,18,3,3,12
060730058021011,S000,2023,200,43,83,74
060730058021012,S000,2023,147,42,61,44
060730058021014,S000,2023,290,66,91,133
060730058021015,S000,2023,824,176,308,340
060730058022000,S000,2023,88,19,31,38
060730058022001,S000,2023,182,34,87,61
060730058022002,S000,2023,93,24,15,54
060730058022003,S000,2023,205,10,26,169
060730058022004,S000,2023,143,18,39,86
060730058022005,S000,2023,136,21,27,88
060730059001000,S000,2023,127,10,11,106
060730059001001,S000,2023,112,28,55,29
060730059001002,S000,2023,76,6,9,61
060730059001003,S000,2023,45,14,10,21
060730059001004,S000,2023,15,3,3,9
060730059001005,S000,2023,79,7,17,55
060730059001006,S000,2023,66,3,7,56
060730059001007,S000,2023,184,18,36,130
060730059001008,S000,2023,5,0,2,3
060730059001009,S000,2023,31,10,12,9
060730059001010,S000,2023,26,3,4,19
060730059001011,S000,2023,15,2,4,9
060730059001012,S000,2023,9,1,0,8
060730059001013,S000,2023,34,5,6,23
060730059001014,S000,2023,20,0,7,13
060730059001015,S000,2023,46,7,14,25
060730059002000,S000,2023,2,0,0,2
060730059002001,S000,2023,1,0,0,1
060730059002002,S000,2023,4,1,0,3
060730059002003,S000,2023,25,0,9,16
060730059002004,S000,2023,6,0,3,3
060730059002005,S000,2023,39,4,12,23
060730059002006,S000,2023,86,8,46,32
060730059002007,S000,2023,12,1,5,6
060730059002008,S000,2023,5,0,2,3
060730059002009,S000,2023,3,2,1,0
060730059002010,S000,2023,1,0,0,1
060730059002011,S000,2023,20,2,4,14
060730059003001,S000,2023,12,4,4,4
060730059003002,S000,2023,249,76,66,107
060730059003003,S000,2023,38,8,29,1
060730059003004,S000,2023,4,0,3,1
060730059003006,S000,2023,1,0,0,1
060730059003009,S000,2023,4,1,0,3
060730059003011,S000,2023,1,1,0,0
060730059003012,S000,2023,1,0,0,1
060730060001000,S000,2023,4,2,0,2
060730060001001,S000,2023,37,6,8,23
060730060001002,S000,2023,19,4,8,7
060730060001003,S000,2023,28,6,7,15
060730060001004,S000,2023,35,13,13,9
060730060001005,S000,2023,8,1,3,4
060730060001006,S000,2023,16,0,3,13
060730060001007,S000,2023,62,13,21,28
060730060001008,S000,2023,31,10,6,15
060730060001009,S000,2023,5,2,1,2
060730060001010,S000,2023,89,8,34,47
060730060001011,S000,2023,89,26,38,25
060730060001012,S000,2023,100,4,14,82
060730060001013,S000,2023,164,13,13,138
060730060001014,S000,2023,2,0,0,2
060730060001015,S000,2023,2,0,2,0
060730060001016,S000,2023,14,3,9,2
060730060001017,S000,2023,9,3,1,5
060730060002000,S000,2023,104,11,30,63
060730060002001,S000,2023,126,27,27,72
060730060002002,S000,2023,38,10,23,5
060730060002003,S000,2023,107,16,20,71
060730060002004,S000,2023,87,7,6,74
060730060002005,S000,2023,63,6,10,47
060730060002006,S000,2023,18,1,1,16
060730060002007,S000,2023,135,24,29,82
060730060002008,S000,2023,23,6,6,11
060730060002009,S000,2023,52,12,25,15
060730060002010,S000,2023,90,37,31,22
060730060002011,S000,2023,90,15,21,54
060730060002012,S000,2023,72,6,16,50
060730060002013,S000,2023,4,0,2,2
060730060003000,S000,2023,29,8,4,17
060730060003001,S000,2023,1,0,0,1
060730060003003,S000,2023,1,0,0,1
060730060003004,S000,2023,3,0,2,1
060730060003005,S000,2023,7,2,0,5
060730060003006,S000,2023,11,1,3,7
060730060003008,S000,2023,94,11,11,72
060730060003010,S000,2023,15,2,3,10
060730060003012,S000,2023,26,5,10,11
060730060003013,S000,2023,52,4,6,42
060730060003014,S000,2023,80,14,28,38
060730060003015,S000,2023,20,0,2,18
060730060003016,S000,2023,356,28,78,250
060730060003017,S000,2023,179,44,56,79
060730060003019,S000,2023,24,1,7,16
060730060003020,S000,2023,5,1,0,4
060730060003021,S000,2023,69,1,4,64
060730060003022,S000,2023,8,2,2,4
060730060003024,S000,2023,3,0,3,0
060730060003025,S000,2023,38,6,10,22
060730061001000,S000,2023,80,11,21,48
060730061001003,S000,2023,4,0,1,3
060730061001005,S000,2023,21,7,5,9
060730061001006,S000,2023,19,2,2,15
060730061001008,S000,2023,4,1,0,3
060730061001009,S000,2023,1,1,0,0
060730061001011,S000,2023,2,0,0,2
060730061001013,S000,2023,44,7,16,21
060730061001014,S000,2023,18,3,6,9
060730061002002,S000,2023,4,1,1,2
060730061002003,S000,2023,15,5,8,2
060730061002007,S000,2023,1,0,0,1
060730061002008,S000,2023,29,2,7,20
060730061002009,S000,2023,7,0,3,4
060730061002012,S000,2023,1,1,0,0
060730061002013,S000,2023,2,0,0,2
060730061002015,S000,2023,62,5,21,36
060730061002016,S000,2023,30,3,12,15
060730061002018,S000,2023,58,2,8,48
060730061002019,S000,2023,41,0,10,31
060730061002020,S000,2023,624,11,18,595
060730061002022,S000,2023,9,0,0,9
060730061002023,S000,2023,6,0,2,4
060730061002025,S000,2023,60,2,18,40
060730061002026,S000,2023,101,20,31,50
060730061002027,S000,2023,101,27,25,49
060730062001000,S000,2023,4537,408,1148,2981
060730062001001,S000,2023,8,2,1,5
060730062001005,S000,2023,1421,374,375,672
060730062001006,S000,2023,153,22,68,63
060730062001008,S000,2023,234,34,65,135
060730063001000,S000,2023,44,13,10,21
060730063001002,S000,2023,18,3,10,5
060730063001005,S000,2023,33,1,7,25
060730063001010,S000,2023,19,1,7,11
060730063001018,S000,2023,226,39,101,86
060730063001024,S000,2023,4,4,0,0
060730065001002,S000,2023,668,78,180,410
060730065001003,S000,2023,314,17,52,245
060730065001004,S000,2023,343,36,88,219
060730065001005,S000,2023,11,0,4,7
060730065001006,S000,2023,98,10,27,61
060730065001007,S000,2023,13,2,4,7
060730065001011,S000,2023,12,2,7,3
060730065001012,S000,2023,176,15,115,46
060730065001013,S000,2023,42,2,9,31
060730065001014,S000,2023,1779,636,409,734
060730065001016,S000,2023,9,2,0,7
060730065001017,S000,2023,77,5,20,52
060730065001018,S000,2023,25,2,9,14
060730065001019,S000,2023,110,13,35,62
060730065001020,S000,2023,184,22,24,138
060730065001021,S000,2023,186,31,51,104
060730065001022,S000,2023,611,118,232,261
060730065001023,S000,2023,715,184,346,185
060730065001024,S000,2023,64,20,28,16
060730065001025,S000,2023,1,0,1,0
060730065001026,S000,2023,18,8,9,1
060730065001027,S000,2023,23,2,8,13
060730065001028,S000,2023,45,2,3,40
060730065001029,S000,2023,38,4,18,16
060730065001030,S000,2023,101,14,25,62
060730065001031,S000,2023,7,2,2,3
060730065001032,S000,2023,1049,81,269,699
060730065001033,S000,2023,477,243,157,77
060730065001034,S000,2023,28,12,13,3
060730065002004,S000,2023,896,24,76,796
060730065002007,S000,2023,1093,141,384,568
060730065002008,S000,2023,80,11,15,54
060730065002009,S000,2023,127,60,51,16
060730065002010,S000,2023,163,28,79,56
060730065002011,S000,2023,6,2,1,3
060730065002013,S000,2023,232,33,97,102
060730065002014,S000,2023,3,0,0,3
060730065002017,S000,2023,346,24,32,290
060730065002018,S000,2023,118,26,43,49
060730065002019,S000,2023,253,24,37,192
060730065002020,S000,2023,119,30,48,41
060730065002021,S000,2023,40,17,16,7
060730065002022,S000,2023,517,64,164,289
060730065002023,S000,2023,6,0,1,5
060730065002024,S000,2023,17,8,9,0
060730065002025,S000,2023,522,60,118,344
060730065002026,S000,2023,61,2,2,57
060730065002029,S000,2023,29,4,12,13
060730065002031,S000,2023,63,6,10,47
060730065002032,S000,2023,468,12,36,420
060730065002033,S000,2023,64,5,23,36
060730065003003,S000,2023,236,143,37,56
060730065003005,S000,2023,1004,30,49,925
060730065003008,S000,2023,406,44,95,267
060730065003011,S000,2023,62,4,8,50
060730065003014,S000,2023,59,10,21,28
060730065003015,S000,2023,156,28,66,62
060730065003016,S000,2023,693,100,236,357
060730065003017,S000,2023,22,2,5,15
060730065003018,S000,2023,3,1,1,1
060730065003019,S000,2023,27,0,24,3
060730065003020,S000,2023,607,62,165,380
060730065003023,S000,2023,87,3,21,63
060730065003024,S000,2023,137,5,26,106
060730065003025,S000,2023,20,1,6,13
060730065003026,S000,2023,70,7,14,49
060730065003027,S000,2023,36,13,11,12
060730065003029,S000,2023,10,4,1,5
060730065003036,S000,2023,56,23,11,22
060730065003037,S000,2023,3,0,1,2
060730066001000,S000,2023,80,13,33,34
060730066001002,S000,2023,1,0,1,0
060730066001003,S000,2023,1,0,1,0
060730066001004,S000,2023,47,0,2,45
060730066001005,S000,2023,72,5,3,64
060730066001006,S000,2023,5,2,0,3
060730066001007,S000,2023,42,9,14,19
060730066001008,S000,2023,126,32,36,58
060730066002000,S000,2023,499,145,227,127
060730068011002,S000,2023,17,6,1,10
060730068011005,S000,2023,6,2,1,3
060730068011009,S000,2023,416,82,171,163
060730068012001,S000,2023,104,51,24,29
060730068021000,S000,2023,27,6,15,6
060730068021001,S000,2023,108,30,41,37
060730068021002,S000,2023,552,88,165,299
060730068021003,S000,2023,4,0,2,2
060730068021004,S000,2023,14,0,5,9
060730068021005,S000,2023,5,1,0,4
060730068021006,S000,2023,90,43,39,8
060730068021007,S000,2023,311,35,46,230
060730068021008,S000,2023,3,3,0,0
060730068021009,S000,2023,4,1,3,0
060730068022000,S000,2023,829,183,354,292
060730068022001,S000,2023,34,2,8,24
060730068023000,S000,2023,84,14,31,39
060730068023001,S000,2023,1,0,0,1
060730068023002,S000,2023,58,8,16,34
060730068023003,S000,2023,24,5,12,7
060730068023004,S000,2023,32,1,3,28
060730069001000,S000,2023,1,1,0,0
060730069001001,S000,2023,10,1,2,7
060730069001002,S000,2023,3,0,1,2
060730069001003,S000,2023,13,4,6,3
060730069001004,S000,2023,4,0,1,3
060730069001005,S000,2023,2,0,1,1
060730069001006,S000,2023,6,5,0,1
060730069001008,S000,2023,2,0,0,2
060730069001009,S000,2023,3,3,0,0
060730069001010,S000,2023,6,1,1,4
060730069001011,S000,2023,1,0,0,1
060730069001012,S000,2023,1,0,0,1
060730069001014,S000,2023,2,1,1,0
060730069001016,S000,2023,1,0,0,1
060730069001019,S000,2023,87,25,37,25
060730069001022,S000,2023,2,0,1,1
060730069002000,S000,2023,9,2,5,2
060730069002004,S000,2023,132,14,35,83
060730069002008,S000,2023,72,16,23,33
060730069002009,S000,2023,9,0,4,5
060730069002010,S000,2023,12,2,6,4
060730069002013,S000,2023,4,0,3,1
060730069002014,S000,2023,1,0,1,0
060730069002015,S000,2023,1,0,0,1
060730069003001,S000,2023,5,1,3,1
060730069003002,S000,2023,1,0,0,1
060730069003004,S000,2023,1,1,0,0
060730069003008,S000,2023,4,1,2,1
060730069003010,S000,2023,2,0,1,1
060730069003011,S000,2023,7,0,0,7
060730069003013,S000,2023,2,0,0,2
060730069003015,S000,2023,1,0,1,0
060730069003017,S000,2023,1,0,0,1
060730069003020,S000,2023,1,0,0,1
060730069003021,S000,2023,2,2,0,0
060730069003024,S000,2023,5,2,2,1
060730069003026,S000,2023,2,0,0,2
060730069003027,S000,2023,2,0,1,1
060730069003038,S000,2023,38,5,10,23
060730069003039,S000,2023,1,0,1,0
060730069003040,S000,2023,2,2,0,0
060730069003041,S000,2023,1,0,0,1
060730069003043,S000,2023,2,0,1,1
060730069003044,S000,2023,2,0,0,2
060730069003045,S000,2023,5,0,0,5
060730069003046,S000,2023,2,0,0,2
060730069003050,S000,2023,5,0,2,3
060730070021000,S000,2023,21,5,2,14
060730070021001,S000,2023,2,0,0,2
060730070021003,S000,2023,2,0,1,1
060730070021004,S000,2023,5,1,3,1
060730070021005,S000,2023,1,0,1,0
060730070021006,S000,2023,3,0,0,3
060730070021008,S000,2023,3,0,0,3
060730070021009,S000,2023,4,0,0,4
060730070021010,S000,2023,4,0,0,4
060730070021011,S000,2023,10,0,2,8
060730070021014,S000,2023,2,0,1,1
060730083072006,S000,2023,2,0,0,2
060730083072007,S000,2023,47,20,8,19
060730083072008,S000,2023,1,0,0,1
060730083072009,S000,2023,10,2,6,2
060730083072011,S000,2023,278,60,107,111
060730083072012,S000,2023,1,0,1,0
060730083073000,S000,2023,17,5,10,2
060730083073001,S000,2023,156,17,36,103
060730083073002,S000,2023,2,0,0,2
060730083073003,S000,2023,7,0,3,4
060730083073004,S000,2023,13,1,1,11
060730083101000,S000,2023,137,41,18,78
060730083101001,S000,2023,15,1,1,13
060730083101004,S000,2023,1,0,1,0
060730083101005,S000,2023,1,1,0,0
060730083101006,S000,2023,11,2,1,8
060730083102000,S000,2023,143,20,28,95
060730083102001,S000,2023,1,0,1,0
060730083102002,S000,2023,3,3,0,0
060730083102004,S000,2023,7,0,2,5
060730083102005,S000,2023,4,0,1,3
060730083102006,S000,2023,4,0,3,1
060730083102007,S000,2023,4,1,2,1
060730083102009,S000,2023,1,0,1,0
060730083102011,S000,2023,1,0,0,1
060730083102012,S000,2023,4,0,2,2
060730083102014,S000,2023,24,5,3,16
060730083103000,S000,2023,70,8,21,41
060730083103001,S000,2023,5,3,2,0
060730083103003,S000,2023,2,0,0,2
060730083103004,S000,2023,2,0,0,2
060730083103005,S000,2023,362,21,24,317
060730083103006,S000,2023,6,0,2,4
060730083103007,S000,2023,1,0,0,1
060730083103008,S000,2023,4,0,0,4
060730083103009,S000,2023,5,0,2,3
060730083103012,S000,2023,29,2,12,15
060730083103013,S000,2023,4,3,0,1
060730083103016,S000,2023,2,0,1,1
060730083103017,S000,2023,11,5,1,5
060730083103018,S000,2023,2,0,0,2
060730083103019,S000,2023,8,1,1,6
060730083111000,S000,2023,36,2,8,26
060730083111001,S000,2023,3,1,0,2
060730083111002,S000,2023,4,0,0,4
060730083111003,S000,2023,24,1,8,15
060730083111004,S000,2023,5,3,0,2
060730083111005,S000,2023,50,5,18,27
060730083111007,S000,2023,22,0,2,20
060730083111009,S000,2023,7,0,2,5
060730083111010,S000,2023,4,1,1,2
060730083111011,S000,2023,26,3,4,19
060730083111013,S000,2023,5,0,1,4
060730083111014,S000,2023,1,0,0,1
060730083111015,S000,2023,2,0,2,0
060730083112000,S000,2023,13,4,4,5
060730083112001,S000,2023,7,1,2,4
060730083112002,S000,2023,6,2,3,1
060730083112003,S000,2023,11,3,1,7
060730083112004,S000,2023,43,10,14,19
060730083112005,S000,2023,14,2,0,12
060730083121001,S000,2023,7329,432,826,6071
060730083121002,S000,2023,2,0,0,2
060730083121003,S000,2023,171,30,36,105
060730083121004,S000,2023,6,0,2,4
060730083121007,S000,2023,22,0,1,21
060730083122000,S000,2023,133,26,35,72
060730083122001,S000,2023,2,0,1,1
060730083122002,S000,2023,3,0,0,3
060730083122003,S000,2023,9,7,1,1
060730083123002,S000,2023,29,1,3,25
060730083123005,S000,2023,35,8,19,8
060730083123007,S000,2023,1,1,0,0
060730083123008,S000,2023,7,0,5,2
060730083124000,S000,2023,7,0,5,2
060730083124002,S000,2023,1,0,0,1
060730083124003,S000,2023,401,50,111,240
060730083124004,S000,2023,37,10,13,14
060730083124006,S000,2023,3,0,0,3
060730083124008,S000,2023,1,0,1,0
060730083124009,S000,2023,6,2,0,4
060730083124010,S000,2023,6,1,3,2
060730083124011,S000,2023,6,3,2,1
060730083124012,S000,2023,231,70,87,74
060730083124015,S000,2023,1,1,0,0
060730083124016,S000,2023,2,0,0,2
060730083124018,S000,2023,1,0,1,0
060730083124020,S000,2023,4,0,0,4
060730083124022,S000,2023,2,0,1,1
060730083124023,S000,2023,1,0,0,1
060730083124024,S000,2023,1,0,1,0
060730083124025,S000,2023,2,0,0,2
060730083124026,S000,2023,40,7,0,33
060730083124027,S000,2023,56,17,11,28
060730083124028,S000,2023,250,47,48,155
060730083124029,S000,2023,138,36,36,66
060730083124031,S000,2023,6,0,4,2
060730083124034,S000,2023,3,1,2,0
060730083124035,S000,2023,2,0,1,1
060730083131000,S000,2023,10,3,4,3
060730083131001,S000,2023,71,18,29,24
060730083132001,S000,2023,15,2,2,11
060730083132002,S000,2023,3,0,3,0
060730083132003,S000,2023,1,0,0,1
060730083132004,S000,2023,42,16,13,13
060730083132005,S000,2023,319,131,84,104
060730083132006,S000,2023,4,1,0,3
060730083132011,S000,2023,4,0,2,2
060730083241001,S000,2023,72,13,21,38
060730083241003,S000,2023,45,13,15,17
060730083241005,S000,2023,560,175,217,168
060730083241006,S000,2023,2,0,0,2
060730083241007,S000,2023,8,0,2,6
060730083241008,S000,2023,1,0,1,0
060730083241009,S000,2023,10,0,2,8
060730083241010,S000,2023,29,2,6,21
060730083241012,S000,2023,2,0,0,2
060730083241013,S000,2023,7,2,2,3
060730083241014,S000,2023,7,1,1,5
060730083241017,S000,2023,1,1,0,0
060730083241019,S000,2023,2,0,0,2
060730083241023,S000,2023,6,0,1,5
060730083241024,S000,2023,1,1,0,0
060730083241025,S000,2023,3,0,0,3
060730083241029,S000,2023,1,0,0,1
060730083241030,S000,2023,1,0,0,1
060730083241031,S000,2023,7,0,1,6
060730083241032,S000,2023,1,1,0,0
060730083241034,S000,2023,1,0,0,1
060730083242000,S000,2023,1,0,0,1
060730083242001,S000,2023,5,0,0,5
060730083242002,S000,2023,3,3,0,0
060730083242004,S000,2023,3,0,1,2
060730083242009,S000,2023,4,0,3,1
060730083242010,S000,2023,2,0,1,1
060730083242014,S000,2023,1,0,1,0
060730083243000,S000,2023,101,13,32,56
060730083243001,S000,2023,7,3,2,2
060730083243003,S000,2023,2,0,1,1
060730083243004,S000,2023,10,0,3,7
060730083243005,S000,2023,14,3,4,7
060730083243006,S000,2023,10,1,1,8
060730083243007,S000,2023,30,7,11,12
060730083244000,S000,2023,5,1,2,2
060730083244001,S000,2023,45,4,10,31
060730083244002,S000,2023,3,0,1,2
060730083244003,S000,2023,22,3,3,16
060730083244004,S000,2023,22,1,11,10
060730083244005,S000,2023,2,0,1,1
060730083244007,S000,2023,19,4,3,12
060730083244009,S000,2023,4,0,2,2
060730083244010,S000,2023,48,15,17,16
060730083245000,S000,2023,136,22,51,63
060730083245005,S000,2023,7,1,1,5
060730083271000,S000,2023,1,1,0,0
060730083271001,S000,2023,18,2,3,13
060730083271002,S000,2023,101,10,20,71
060730083271003,S000,2023,13,1,7,5
060730083271004,S000,2023,8,1,0,7
060730083271006,S000,2023,1,0,0,1
060730083271007,S000,2023,15,1,1,13
060730083271009,S000,2023,1,0,1,0
060730083271010,S000,2023,3,1,2,0
060730083271011,S000,2023,3,0,2,1
060730083272000,S000,2023,329,47,76,206
060730083272001,S000,2023,1,1,0,0
060730083272003,S000,2023,1,0,1,0
060730083272004,S000,2023,6,2,0,4
060730083272005,S000,2023,17,5,5,7
060730083272006,S000,2023,26,4,6,16
060730083272007,S000,2023,4,0,1,3
060730083272009,S000,2023,3,1,2,0
060730083272010,S000,2023,4,0,1,3
060730083272011,S000,2023,5,0,1,4
060730083272012,S000,2023,9,1,3,5
060730083273000,S000,2023,71,7,28,36
060730083273001,S000,2023,590,102,204,284
060730083273003,S000,2023,17,0,5,12
060730083273004,S000,2023,25,3,9,13
060730083273006,S000,2023,2,0,0,2
060730083273008,S000,2023,4,0,0,4
060730083273011,S000,2023,50,15,22,13
060730083281001,S000,2023,3,0,0,3
060730083281002,S000,2023,13,5,8,0
060730083281004,S000,2023,2,2,0,0
060730083281006,S000,2023,26,0,15,11
060730083281007,S000,2023,3,0,1,2
060730083281008,S000,2023,1,0,1,0
060730083281009,S000,2023,60,11,10,39
060730083281010,S000,2023,1,1,0,0
060730083281011,S000,2023,1,0,0,1
060730083281013,S000,2023,1,0,0,1
060730083281014,S000,2023,3,0,0,3
060730083281016,S000,2023,23,13,9,1
060730083281017,S000,2023,18,1,12,5
060730083281018,S000,2023,2,2,0,0
060730083281019,S000,2023,1,0,1,0
060730083281021,S000,2023,3,0,0,3
060730083281022,S000,2023,1,0,0,1
060730083281023,S000,2023,1,1,0,0
060730083281024,S000,2023,9,3,4,2
060730083281026,S000,2023,26,5,2,19
060730083281027,S000,2023,3,0,1,2
060730083281028,S000,2023,2,0,0,2
060730083282004,S000,2023,3,1,0,2
060730083282007,S000,2023,7,0,0,7
060730083282008,S000,2023,2,0,0,2
060730083282009,S000,2023,3,0,0,3
060730083282011,S000,2023,119,17,47,55
060730083282012,S000,2023,2,1,1,0
060730083282013,S000,2023,2,0,0,2
060730083282014,S000,2023,26,6,7,13
060730083282017,S000,2023,8,1,1,6
060730083282020,S000,2023,8,2,1,5
060730083282022,S000,2023,30,6,2,22
060730083282023,S000,2023,14,3,0,11
060730083282024,S000,2023,2,0,0,2
060730083282025,S000,2023,189,17,17,155
060730083282026,S000,2023,4,1,2,1
060730083282030,S000,2023,44,2,4,38
060730083301000,S000,2023,41,3,8,30
060730083301001,S000,2023,13,3,4,6
060730083301002,S000,2023,4,0,3,1
060730083301003,S000,2023,8,0,1,7
060730083301005,S000,2023,10,0,8,2
060730083301006,S000,2023,16,1,6,9
060730083301007,S000,2023,11,4,3,4
060730083301008,S000,2023,39,3,10,26
060730083302000,S000,2023,7,4,1,2
060730083302001,S000,2023,57,7,12,38
060730083302002,S000,2023,8,2,2,4
060730083302003,S000,2023,3,2,0,1
060730083302004,S000,2023,49,3,10,36
060730083302005,S000,2023,4,1,2,1
060730083303000,S000,2023,1,0,0,1
060730083303001,S000,2023,118,27,33,58
060730083303002,S000,2023,4,0,3,1
060730083303003,S000,2023,34,11,16,7
060730083303004,S000,2023,3,3,0,0
060730083303005,S000,2023,2,1,1,0
060730083303006,S000,2023,3,1,2,0
060730083311000,S000,2023,67,11,16,40
060730083311001,S000,2023,1,1,0,0
060730083311003,S000,2023,3,0,1,2
060730083311005,S000,2023,224,92,67,65
060730083311006,S000,2023,3,0,2,1
060730083311007,S000,2023,17,6,3,8
060730083311008,S000,2023,4,0,0,4
060730083311009,S000,2023,91,19,17,55
060730083311010,S000,2023,19,3,3,13
060730083311012,S000,2023,2,0,0,2
060730083361000,S000,2023,11,4,3,4
060730083361001,S000,2023,2,0,1,1
060730083362001,S000,2023,11,4,2,5
060730083362002,S000,2023,2,2,0,0
060730083362003,S000,2023,3,1,1,1
060730083362004,S000,2023,3,0,1,2
060730083362006,S000,2023,1,0,0,1
060730083362007,S000,2023,5,1,2,2
060730083362008,S000,2023,3,0,1,2
060730083362009,S000,2023,5,2,0,3
060730083371000,S000,2023,83,16,25,42
060730083371001,S000,2023,2,1,1,0
060730083371002,S000,2023,2,0,0,2
060730083371003,S000,2023,6,2,4,0
060730083371005,S000,2023,20,1,4,15
060730083371006,S000,2023,4,0,0,4
060730083371008,S000,2023,2,0,0,2
060730083371010,S000,2023,16,13,3,0
060730083372000,S000,2023,16,2,8,6
060730083372001,S000,2023,1,0,1,0
060730083372003,S000,2023,3,2,1,0
060730083372004,S000,2023,3,1,1,1
060730083372005,S000,2023,16,3,6,7
060730083373000,S000,2023,88,20,39,29
060730083373002,S000,2023,6,1,0,5
060730083373003,S000,2023,12,2,8,2
060730083373004,S000,2023,11,1,8,2
060730083373006,S000,2023,1,0,1,0
060730083373007,S000,2023,7,0,4,3
060730083373008,S000,2023,1,0,1,0
060730083391001,S000,2023,1379,109,135,1135
060730083391005,S000,2023,4386,224,289,3873
060730083391006,S000,2023,16,0,1,15
060730083391007,S000,2023,903,36,56,811
060730083391010,S000,2023,8,0,0,8
060730083391012,S000,2023,2,0,0,2
060730083391013,S000,2023,508,41,31,436
060730083391014,S000,2023,1448,71,150,1227
060730083391015,S000,2023,407,19,32,356
060730083391018,S000,2023,4386,98,184,4104
060730083391019,S000,2023,614,11,6,597
060730083391020,S000,2023,733,20,60,653
060730083391021,S000,2023,90,0,2,88
060730083391027,S000,2023,8,1,5,2
060730083391028,S000,2023,55,7,5,43
060730083391031,S000,2023,974,114,125,735
060730083391034,S000,2023,12987,311,634,12042
060730083391036,S000,2023,636,32,60,544
060730083391037,S000,2023,1044,77,152,815
060730083391040,S000,2023,3294,484,759,2051
060730083391041,S000,2023,562,69,150,343
060730083391042,S000,2023,3035,57,132,2846
060730083391043,S000,2023,1883,74,123,1686
060730083391044,S000,2023,205,34,70,101
060730083391045,S000,2023,3345,104,187,3054
060730083391046,S000,2023,23,0,1,22
060730083391048,S000,2023,23,0,4,19
060730083431000,S000,2023,139,18,32,89
060730083431001,S000,2023,1,0,0,1
060730083431002,S000,2023,16,4,8,4
060730083431009,S000,2023,6,1,1,4
060730083432000,S000,2023,12,1,5,6
060730083432002,S000,2023,3,0,3,0
060730083433000,S000,2023,12,6,2,4
060730083441000,S000,2023,248,25,65,158
060730083441001,S000,2023,66,11,10,45
060730083441004,S000,2023,4,0,2,2
060730083441005,S000,2023,1,0,1,0
060730083441007,S000,2023,2,0,2,0
060730083442000,S000,2023,2,0,2,0
060730083442002,S000,2023,6,2,3,1
060730083442003,S000,2023,5,1,3,1
060730083442004,S000,2023,11,1,2,8
060730083442005,S000,2023,35,4,4,27
060730083442008,S000,2023,24,10,9,5
060730083442009,S000,2023,2,0,2,0
060730083442010,S000,2023,1,1,0,0
060730083442011,S000,2023,4,0,0,4
060730083451000,S000,2023,2104,162,282,1660
060730083451001,S000,2023,73,46,15,12
060730083451002,S000,2023,2,0,0,2
060730083451003,S000,2023,13,3,6,4
060730083452002,S000,2023,4,3,0,1
060730083452003,S000,2023,11,2,2,7
060730083452004,S000,2023,5,0,3,2
060730083452005,S000,2023,19,0,7,12
060730083453001,S000,2023,446,77,173,196
060730083453002,S000,2023,5,0,4,1
060730083453003,S000,2023,1,1,0,0
060730083453004,S000,2023,2,1,1,0
060730083461001,S000,2023,18,7,2,9
060730083461002,S000,2023,5,1,4,0
060730083461003,S000,2023,2,0,2,0
060730083461004,S000,2023,11,6,3,2
060730083462000,S000,2023,9611,158,432,9021
060730083462001,S000,2023,897,15,12,870
060730083462003,S000,2023,739,25,99,615
060730083462004,S000,2023,2297,20,26,2251
060730083462005,S000,2023,3370,21,11,3338
060730083462006,S000,2023,466,8,83,375
060730083462007,S000,2023,417,23,50,344
060730083462008,S000,2023,224,11,18,195
060730083462010,S000,2023,1139,53,90,996
060730083462011,S000,2023,3205,49,74,3082
060730083462013,S000,2023,908,131,264,513
060730083462017,S000,2023,1438,28,110,1300
060730083462018,S000,2023,2592,136,201,2255
060730083462019,S000,2023,108,33,14,61
060730083462020,S000,2023,15,1,8,6
060730083462021,S000,2023,674,20,33,621
060730083462022,S000,2023,1429,61,188,1180
060730083462023,S000,2023,1581,37,120,1424
060730083462024,S000,2023,5477,76,246,5155
060730083462025,S000,2023,250,47,67,136
