service_a,service_b,n_days,pearson_r,p_value,p_value_fdr_bh
fhv,hvfhv,364,-0.22747147552266223,1.173051330056476e-05,2.3461026601129524e-05
fhv,green_taxi,364,0.8429037889975398,1.8113342191640718e-99,1.0868005314984432e-98
fhv,yellow_taxi,364,0.21757514442256815,2.8259370207064597e-05,4.23890553105969e-05
hvfhv,green_taxi,364,-0.08963675045028796,0.08768882327685797,0.08768882327685797
hvfhv,yellow_taxi,364,0.14507430390217252,0.005554112572169218,0.006664935086603062
green_taxi,yellow_taxi,364,0.32272610313871486,2.871661153808599e-10,8.614983461425798e-10
