service,count,mean,std,min,25%,50%,75%,max
fhv,364.0,-5.7342700355604004e-05,0.26468398102718,-0.6690814944829764,-0.18472014139740853,-0.008265117496235444,0.08279202499684767,0.8779234094201364
hvfhv,364.0,0.00019229624248459802,0.1163184911995627,-0.43290302423583876,-0.1038005786428794,0.04400195997893216,0.08232495675718095,0.2523419647183793
green_taxi,364.0,-0.00010917672705910056,0.1465514025076198,-0.40582579341414854,-0.09299752546051879,0.008171074841844709,0.0726320763747898,0.5375725061880375
yellow_taxi,364.0,4.924446069436989e-05,0.2271374399020134,-2.230221653804647,-0.06715785732999974,0.008260458994221611,0.0654631381759217,2.922042992665655
