date,fhv,hvfhv,green_taxi,yellow_taxi
2023-01-01,4357,629154,1463,76189
2023-01-02,3750,408084,1564,65819
2023-01-03,7808,477829,2125,85733
2023-01-04,8578,494039,2383,94998
2023-01-05,8598,517870,2417,100960
2023-01-06,8435,608222,2546,102160
2023-01-07,5648,651016,2154,104906
2023-01-08,4246,555352,1659,85739
2023-01-09,8244,483799,2219,85562
2023-01-10,9100,511272,2171,99780
2023-01-11,9268,543997,2487,106002
2023-01-12,9311,611478,2527,111163
2023-01-13,8385,660421,2550,110082
2023-01-14,5837,747024,2169,112969
2023-01-15,4416,675746,1776,97398
2023-01-16,5171,512620,1584,80518
2023-01-17,8870,537334,2246,101080
2023-01-18,9725,554173,2341,106025
2023-01-19,9650,673867,2635,114353
2023-01-20,9005,677522,2469,108810
2023-01-21,6209,753393,2140,111990
2023-01-22,4900,656232,1774,90648
2023-01-23,8386,553723,2392,89844
2023-01-24,9437,552237,2413,103803
2023-01-25,9548,661559,2679,109051
2023-01-26,9583,632899,2632,114558
2023-01-27,9124,700967,2430,111203
2023-01-28,6422,744051,2063,111512
2023-01-29,4868,621116,1676,89302
2023-01-30,8517,511622,2236,83758
2023-01-31,9496,560413,2311,100210
2023-02-01,9927,584227,2561,107672
2023-02-02,9685,621124,2579,112882
2023-02-03,9770,799409,2773,114830
2023-02-04,6308,804683,1848,98150
2023-02-05,5089,612745,1723,84923
2023-02-06,9013,529181,2294,90997
2023-02-07,10329,561482,2462,106006
2023-02-08,10405,578766,2569,108297
2023-02-09,9808,619433,2644,114623
2023-02-10,9774,706154,2601,113991
2023-02-11,6895,765286,2206,114498
2023-02-12,5535,685333,1901,95325
2023-02-13,8752,544425,2206,93110
2023-02-14,10520,618860,2466,107976
2023-02-15,10234,590594,2565,110813
2023-02-16,9609,616781,2622,112611
2023-02-17,9599,726187,2668,111285
2023-02-18,6676,735054,2127,105148
2023-02-19,5121,638364,1786,90910
2023-02-20,5909,499791,1778,79705
2023-02-21,8753,540786,2325,99749
2023-02-22,9711,592990,2477,110857
2023-02-23,9720,633278,2521,114931
2023-02-24,9238,723368,2681,114870
2023-02-25,6379,811023,2071,113618
2023-02-26,5110,650128,1717,92086
