service_a,service_b,n_days,mean_diff_log_ratio,t_statistic,p_value,p_value_fdr_bh
fhv,hvfhv,364,-0.00024963894284020163,-0.015245826542447351,0.9878444373786738,0.9951232770425156
fhv,green_taxi,364,5.1834026703493196e-05,0.006116314921995017,0.9951232770425156,0.9951232770425156
fhv,yellow_taxi,364,-0.00010658716104997543,-0.006580839651480646,0.9947529025921057,0.9951232770425156
hvfhv,green_taxi,364,0.0003014729695436973,0.029481241172677572,0.9764969814028035,0.9951232770425156
hvfhv,yellow_taxi,364,0.00014305178179022243,0.011386173151564215,0.9909215995609864,0.9951232770425156
green_taxi,yellow_taxi,364,-0.00015842118775346816,-0.013307887892188841,0.989389466019317,0.9951232770425156
