date,trip_count
2023-01-01,76189
2023-01-02,65819
2023-01-03,85733
2023-01-04,94998
2023-01-05,100960
2023-01-06,102160
2023-01-07,104906
2023-01-08,85739
2023-01-09,85562
2023-01-10,99780
2023-01-11,106002
2023-01-12,111163
2023-01-13,110082
2023-01-14,112969
2023-01-15,97398
2023-01-16,80518
2023-01-17,101080
2023-01-18,106025
2023-01-19,114353
2023-01-20,108810
2023-01-21,111990
2023-01-22,90648
2023-01-23,89844
2023-01-24,103803
2023-01-25,109051
2023-01-26,114558
2023-01-27,111203
2023-01-28,111512
2023-01-29,89302
2023-01-30,83758
2023-01-31,100210
2023-02-01,107672
2023-02-02,112882
2023-02-03,114830
2023-02-04,98150
2023-02-05,84923
2023-02-06,90997
2023-02-07,106006
2023-02-08,108297
2023-02-09,114623
2023-02-10,113991
2023-02-11,114498
2023-02-12,95325
2023-02-13,93110
2023-02-14,107976
2023-02-15,110813
2023-02-16,112611
2023-02-17,111285
2023-02-18,105148
2023-02-19,90910
2023-02-20,79705
2023-02-21,99749
2023-02-22,110857
2023-02-23,114931
2023-02-24,114870
2023-02-25,113618
2023-02-26,92086
2023-02-27,93050
2023-02-28,101046
2023-03-01,115089
2023-03-02,118714
2023-03-03,116011
2023-03-04,113066
2023-03-05,98040
2023-03-06,93608
2023-03-07,113611
2023-03-08,117473
2023-03-09,121349
2023-03-10,121375
2023-03-11,111232
2023-03-12,95969
2023-03-13,100637
2023-03-14,107653
2023-03-15,119709
2023-03-16,123866
2023-03-17,111955
2023-03-18,121598
2023-03-19,101745
2023-03-20,91356
2023-03-21,101985
2023-03-22,105950
2023-03-23,113672
2023-03-24,110691
2023-03-25,115669
2023-03-26,94959
2023-03-27,96514
2023-03-28,104196
2023-03-29,111265
2023-03-30,118846
2023-03-31,114719
2023-04-01,116847
2023-04-02,101071
2023-04-03,96870
2023-04-04,108549
2023-04-05,115552
2023-04-06,107937
2023-04-07,105846
2023-04-08,101644
2023-04-09,88971
2023-04-10,89836
2023-04-11,104758
2023-04-12,113199
2023-04-13,121630
2023-04-14,123440
2023-04-15,119198
2023-04-16,99521
2023-04-17,97697
2023-04-18,114953
2023-04-19,117558
2023-04-20,125368
2023-04-21,116718
2023-04-22,117910
2023-04-23,98899
2023-04-24,100054
2023-04-25,112707
2023-04-26,119965
2023-04-27,123908
2023-04-28,123060
2023-04-29,110532
2023-04-30,95056
2023-05-01,99659
2023-05-02,115093
2023-05-03,119484
2023-05-04,126254
2023-05-05,121004
2023-05-06,121633
2023-05-07,102538
2023-05-08,98855
2023-05-09,115683
2023-05-10,120724
2023-05-11,129807
2023-05-12,125457
2023-05-13,122168
2023-05-14,110580
2023-05-15,109222
2023-05-16,124255
2023-05-17,132090
2023-05-18,134347
2023-05-19,127726
2023-05-20,119592
2023-05-21,103665
2023-05-22,104058
2023-05-23,116208
2023-05-24,125469
2023-05-25,117011
2023-05-26,102624
2023-05-27,94324
2023-05-28,83753
2023-05-29,75460
2023-05-30,100201
2023-05-31,114520
2023-06-01,123011
2023-06-02,118460
2023-06-03,118230
2023-06-04,101113
2023-06-05,103539
2023-06-06,120949
2023-06-07,123824
2023-06-08,119358
2023-06-09,114802
2023-06-10,112535
2023-06-11,98129
2023-06-12,107509
2023-06-13,117455
2023-06-14,122365
2023-06-15,127890
2023-06-16,111435
2023-06-17,106047
2023-06-18,93003
2023-06-19,86598
2023-06-20,108184
2023-06-21,116076
2023-06-22,121415
2023-06-23,114369
2023-06-24,109320
2023-06-25,95389
2023-06-26,100338
2023-06-27,109486
2023-06-28,105683
2023-06-29,105149
2023-06-30,95317
2023-07-01,81495
2023-07-02,68962
2023-07-03,64499
2023-07-04,57144
2023-07-05,85084
2023-07-06,92891
2023-07-07,90095
2023-07-08,90779
2023-07-09,80286
2023-07-10,88772
2023-07-11,103426
2023-07-12,110157
2023-07-13,112861
2023-07-14,98718
2023-07-15,101114
2023-07-16,81706
2023-07-17,93561
2023-07-18,106309
2023-07-19,110933
2023-07-20,111268
2023-07-21,100230
2023-07-22,99939
2023-07-23,87557
2023-07-24,90000
2023-07-25,102564
2023-07-26,109187
2023-07-27,112758
2023-07-28,102479
2023-07-29,97770
2023-07-30,89007
2023-07-31,86166
2023-08-01,98100
2023-08-02,101497
2023-08-03,102960
2023-08-04,91685
2023-08-05,93148
2023-08-06,81875
2023-08-07,83584
2023-08-08,95570
2023-08-09,100105
2023-08-10,104778
2023-08-11,92053
2023-08-12,90516
2023-08-13,81205
2023-08-14,83786
2023-08-15,92999
2023-08-16,99593
2023-08-17,99981
2023-08-18,89382
2023-08-19,90472
2023-08-20,78949
2023-08-21,80084
2023-08-22,86700
2023-08-23,92120
2023-08-24,95435
2023-08-25,88914
2023-08-26,90768
2023-08-27,82217
2023-08-28,78396
2023-08-29,93683
2023-08-30,92025
2023-08-31,91100
2023-09-01,86663
2023-09-02,82502
2023-09-03,79091
2023-09-04,73022
2023-09-05,102614
2023-09-06,117687
2023-09-07,128752
2023-09-08,124107
2023-09-09,117347
2023-09-10,106131
2023-09-11,107595
2023-09-12,118930
2023-09-13,118569
2023-09-14,124762
2023-09-15,116107
2023-09-16,111848
2023-09-17,95967
2023-09-18,96568
2023-09-19,104346
2023-09-20,108212
2023-09-21,42947
2023-09-22,4617
2023-09-23,5753
2023-09-24,4886
2023-09-25,90778
2023-09-26,112402
2023-09-27,118834
2023-09-28,126866
2023-09-29,105428
2023-09-30,112725
2023-10-01,104052
2023-10-02,99800
2023-10-03,112796
2023-10-04,118821
2023-10-05,123406
2023-10-06,115822
2023-10-07,112946
2023-10-08,99341
2023-10-09,85670
2023-10-10,110453
2023-10-11,118248
2023-10-12,127030
2023-10-13,117876
2023-10-14,122076
2023-10-15,104405
2023-10-16,102232
2023-10-17,116025
2023-10-18,120313
2023-10-19,127349
2023-10-20,124079
2023-10-21,121184
2023-10-22,108618
2023-10-23,99770
2023-10-24,113231
2023-10-25,119765
2023-10-26,129311
2023-10-27,126729
2023-10-28,131102
2023-10-29,111677
2023-10-30,97584
2023-10-31,101481
2023-11-01,126697
2023-11-02,127837
2023-11-03,122215
2023-11-04,123139
2023-11-05,108873
2023-11-06,102851
2023-11-07,112880
2023-11-08,124079
2023-11-09,128748
2023-11-10,125647
2023-11-11,124386
2023-11-12,110343
2023-11-13,103098
2023-11-14,117798
2023-11-15,124844
2023-11-16,130800
2023-11-17,121679
2023-11-18,127014
2023-11-19,100574
2023-11-20,99237
2023-11-21,111776
2023-11-22,92295
2023-11-23,65078
2023-11-24,77371
2023-11-25,88224
2023-11-26,85525
2023-11-27,96635
2023-11-28,120136
2023-11-29,114939
2023-11-30,124381
2023-12-01,128634
2023-12-02,121992
2023-12-03,108046
2023-12-04,102365
2023-12-05,120391
2023-12-06,129414
2023-12-07,134986
2023-12-08,132334
2023-12-09,135187
2023-12-10,114119
2023-12-11,110529
2023-12-12,126410
2023-12-13,136064
2023-12-14,143995
2023-12-15,141754
2023-12-16,136782
2023-12-17,109594
2023-12-18,101370
2023-12-19,121847
2023-12-20,118817
2023-12-21,116889
2023-12-22,111519
2023-12-23,83587
2023-12-24,65997
2023-12-25,45434
2023-12-26,68146
2023-12-27,81111
2023-12-28,84242
2023-12-29,86020
2023-12-30,82424
2023-12-31,77567
