date,trip_count
2023-01-01,1463
2023-01-02,1564
2023-01-03,2125
2023-01-04,2383
2023-01-05,2417
2023-01-06,2546
2023-01-07,2154
2023-01-08,1659
2023-01-09,2219
2023-01-10,2171
2023-01-11,2487
2023-01-12,2527
2023-01-13,2550
2023-01-14,2169
2023-01-15,1776
2023-01-16,1584
2023-01-17,2246
2023-01-18,2341
2023-01-19,2635
2023-01-20,2469
2023-01-21,2140
2023-01-22,1774
2023-01-23,2392
2023-01-24,2413
2023-01-25,2679
2023-01-26,2632
2023-01-27,2430
2023-01-28,2063
2023-01-29,1676
2023-01-30,2236
2023-01-31,2311
2023-02-01,2561
2023-02-02,2579
2023-02-03,2773
2023-02-04,1848
2023-02-05,1723
2023-02-06,2294
2023-02-07,2462
2023-02-08,2569
2023-02-09,2644
2023-02-10,2601
2023-02-11,2206
2023-02-12,1901
2023-02-13,2206
2023-02-14,2466
2023-02-15,2565
2023-02-16,2622
2023-02-17,2668
2023-02-18,2127
2023-02-19,1786
2023-02-20,1778
2023-02-21,2325
2023-02-22,2477
2023-02-23,2521
2023-02-24,2681
2023-02-25,2071
2023-02-26,1717
2023-02-27,2399
2023-02-28,2222
2023-03-01,2623
2023-03-02,2583
2023-03-03,2718
2023-03-04,2186
2023-03-05,1854
2023-03-06,2307
2023-03-07,2596
2023-03-08,2492
2023-03-09,2605
2023-03-10,2560
2023-03-11,2101
2023-03-12,1762
2023-03-13,2423
2023-03-14,2334
2023-03-15,2578
2023-03-16,2685
2023-03-17,2636
2023-03-18,2134
2023-03-19,1847
2023-03-20,2311
2023-03-21,2255
2023-03-22,2286
2023-03-23,2272
2023-03-24,2390
2023-03-25,2035
2023-03-26,1689
2023-03-27,2308
2023-03-28,2134
2023-03-29,2398
2023-03-30,2507
2023-03-31,2430
2023-04-01,1999
2023-04-02,1823
2023-04-03,2303
2023-04-04,2289
2023-04-05,2381
2023-04-06,2278
2023-04-07,2166
2023-04-08,1940
2023-04-09,1872
2023-04-10,2228
2023-04-11,2245
2023-04-12,2160
2023-04-13,2291
2023-04-14,2373
2023-04-15,2102
2023-04-16,1780
2023-04-17,2255
2023-04-18,2352
2023-04-19,2244
2023-04-20,2451
2023-04-21,1917
2023-04-22,2085
2023-04-23,1720
2023-04-24,2206
2023-04-25,2396
2023-04-26,2528
2023-04-27,2651
2023-04-28,2667
2023-04-29,1902
2023-04-30,1787
2023-05-01,2415
2023-05-02,2148
2023-05-03,2299
2023-05-04,2376
2023-05-05,2299
2023-05-06,2086
2023-05-07,1790
2023-05-08,2247
2023-05-09,2271
2023-05-10,2293
2023-05-11,2616
