date,trip_count
2023-05-12,2587
2023-05-13,2113
2023-05-14,1990
2023-05-15,2310
2023-05-16,2298
2023-05-17,2586
2023-05-18,2620
2023-05-19,2623
2023-05-20,2120
2023-05-21,1873
2023-05-22,2275
2023-05-23,2201
2023-05-24,2459
2023-05-25,2461
2023-05-26,2282
2023-05-27,1794
2023-05-28,1557
2023-05-29,1676
2023-05-30,2163
2023-05-31,2350
2023-06-01,2454
2023-06-02,2479
2023-06-03,2230
2023-06-04,1971
2023-06-05,2099
2023-06-06,2385
2023-06-07,2392
2023-06-08,2263
2023-06-09,2498
2023-06-10,2018
2023-06-11,1877
2023-06-12,2257
2023-06-13,2371
2023-06-14,2507
2023-06-15,2543
2023-06-16,2390
2023-06-17,2001
2023-06-18,1849
2023-06-19,1713
2023-06-20,2075
2023-06-21,2283
2023-06-22,2483
2023-06-23,2297
2023-06-24,1930
2023-06-25,1719
2023-06-26,2145
2023-06-27,2225
2023-06-28,1844
2023-06-29,2079
2023-06-30,2171
2023-07-01,1840
2023-07-02,1750
2023-07-03,1748
2023-07-04,1323
2023-07-05,2082
2023-07-06,2122
2023-07-07,2171
2023-07-08,1730
2023-07-09,1735
2023-07-10,2014
2023-07-11,1992
2023-07-12,2232
2023-07-13,2331
2023-07-14,2210
2023-07-15,2058
2023-07-16,1666
2023-07-17,2108
2023-07-18,2105
2023-07-19,2162
2023-07-20,2241
2023-07-21,2093
2023-07-22,1777
2023-07-23,1651
2023-07-24,1934
2023-07-25,2062
2023-07-26,2135
2023-07-27,2279
2023-07-28,2175
2023-07-29,1881
2023-07-30,1738
2023-07-31,2001
2023-08-01,2023
2023-08-02,2088
2023-08-03,2246
2023-08-04,2061
2023-08-05,1740
2023-08-06,1676
2023-08-07,1956
2023-08-08,2017
2023-08-09,2072
2023-08-10,2185
2023-08-11,1991
2023-08-12,1737
2023-08-13,1656
2023-08-14,1931
2023-08-15,1955
2023-08-16,2077
2023-08-17,2044
2023-08-18,2111
2023-08-19,1842
2023-08-20,1648
2023-08-21,1855
2023-08-22,1856
2023-08-23,1979
2023-08-24,2123
2023-08-25,1916
2023-08-26,1715
2023-08-27,1572
2023-08-28,1988
2023-08-29,2191
2023-08-30,2219
2023-08-31,2205
2023-09-01,2243
2023-09-02,1700
2023-09-03,1769
2023-09-04,1861
2023-09-05,2502
2023-09-06,2563
2023-09-07,2660
2023-09-08,2657
2023-09-09,2182
2023-09-10,1882
2023-09-11,2380
2023-09-12,2332
2023-09-13,2413
2023-09-14,2471
2023-09-15,2408
2023-09-16,1994
2023-09-17,1772
2023-09-18,2305
2023-09-19,2164
2023-09-20,2450
2023-09-21,2459
2023-09-22,2283
2023-09-23,1689
2023-09-24,1535
2023-09-25,1870
2023-09-26,2343
2023-09-27,2338
2023-09-28,2559
2023-09-29,1879
2023-09-30,1776
2023-10-01,1727
2023-10-02,2157
2023-10-03,2266
2023-10-04,2341
2023-10-05,2333
2023-10-06,2313
2023-10-07,1730
2023-10-08,1667
2023-10-09,1853
2023-10-10,2104
2023-10-11,2271
2023-10-12,2502
2023-10-13,2445
2023-10-14,1860
2023-10-15,1738
2023-10-16,2106
2023-10-17,2218
2023-10-18,2408
2023-10-19,2496
2023-10-20,2387
2023-10-21,1929
2023-10-22,1719
2023-10-23,2143
2023-10-24,2148
2023-10-25,2276
2023-10-26,2391
2023-10-27,2383
2023-10-28,2049
2023-10-29,1841
2023-10-30,2154
2023-10-31,2233
2023-11-01,2656
2023-11-02,2420
2023-11-03,2356
2023-11-04,1846
2023-11-05,1653
2023-11-06,2188
2023-11-07,2074
2023-11-08,2367
2023-11-09,2410
2023-11-10,2317
2023-11-11,2069
2023-11-12,1740
2023-11-13,2117
2023-11-14,2342
2023-11-15,2399
2023-11-16,2366
2023-11-17,2331
2023-11-18,2062
2023-11-19,1829
2023-11-20,2210
2023-11-21,2558
2023-11-22,2208
2023-11-23,1493
2023-11-24,1529
2023-11-25,1592
2023-11-26,1649
2023-11-27,2103
2023-11-28,2277
2023-11-29,2443
2023-11-30,2411
2023-12-01,2534
2023-12-02,1999
2023-12-03,1565
2023-12-04,2268
2023-12-05,2350
2023-12-06,2612
2023-12-07,2492
2023-12-08,2418
2023-12-09,2127
2023-12-10,1750
2023-12-11,2242
2023-12-12,2360
2023-12-13,2522
2023-12-14,2645
2023-12-15,2669
2023-12-16,2208
2023-12-17,1687
2023-12-18,2293
2023-12-19,2465
2023-12-20,2506
2023-12-21,2481
2023-12-22,2357
2023-12-23,1585
2023-12-24,1312
2023-12-25,937
2023-12-26,1604
2023-12-27,1775
2023-12-28,1738
2023-12-29,1771
2023-12-30,1533
2023-12-31,1406
