date,trip_count
2023-01-01,4357
2023-01-02,3750
2023-01-03,7808
2023-01-04,8578
2023-01-05,8598
2023-01-06,8435
2023-01-07,5648
2023-01-08,4246
2023-01-09,8244
2023-01-10,9100
2023-01-11,9268
2023-01-12,9311
2023-01-13,8385
2023-01-14,5837
2023-01-15,4416
2023-01-16,5171
2023-01-17,8870
2023-01-18,9725
2023-01-19,9650
2023-01-20,9005
2023-01-21,6209
2023-01-22,4900
2023-01-23,8386
2023-01-24,9437
2023-01-25,9548
2023-01-26,9583
2023-01-27,9124
2023-01-28,6422
2023-01-29,4868
2023-01-30,8517
2023-01-31,9496
2023-02-01,9927
2023-02-02,9685
2023-02-03,9770
2023-02-04,6308
2023-02-05,5089
2023-02-06,9013
2023-02-07,10329
2023-02-08,10405
2023-02-09,9808
2023-02-10,9774
2023-02-11,6895
2023-02-12,5535
2023-02-13,8752
2023-02-14,10520
2023-02-15,10234
2023-02-16,9609
2023-02-17,9599
2023-02-18,6676
2023-02-19,5121
2023-02-20,5909
2023-02-21,8753
2023-02-22,9711
2023-02-23,9720
2023-02-24,9238
2023-02-25,6379
2023-02-26,5110
2023-02-27,8435
2023-02-28,8602
2023-03-01,10189
2023-03-02,10392
2023-03-03,10115
2023-03-04,6987
2023-03-05,5843
2023-03-06,9344
2023-03-07,9698
2023-03-08,10110
2023-03-09,10529
2023-03-10,10436
2023-03-11,7060
2023-03-12,5496
2023-03-13,9384
2023-03-14,9666
2023-03-15,10485
2023-03-16,10429
2023-03-17,9844
2023-03-18,6984
2023-03-19,5794
2023-03-20,9068
2023-03-21,9844
2023-03-22,10286
2023-03-23,10196
2023-03-24,10271
2023-03-25,7544
2023-03-26,6195
2023-03-27,9269
2023-03-28,10658
2023-03-29,10753
2023-03-30,10513
2023-03-31,10605
2023-04-01,7639
2023-04-02,6121
2023-04-03,9393
2023-04-04,10349
2023-04-05,10406
2023-04-06,8995
2023-04-07,8885
2023-04-08,7054
2023-04-09,5917
2023-04-10,8266
2023-04-11,9448
2023-04-12,9582
2023-04-13,9615
2023-04-14,9990
2023-04-15,7351
2023-04-16,6031
2023-04-17,9668
2023-04-18,10524
2023-04-19,10852
