date,trip_count
2023-01-01,629154
2023-01-02,408084
2023-01-03,477829
2023-01-04,494039
2023-01-05,517870
2023-01-06,608222
2023-01-07,651016
2023-01-08,555352
2023-01-09,483799
2023-01-10,511272
2023-01-11,543997
2023-01-12,611478
2023-01-13,660421
2023-01-14,747024
2023-01-15,675746
2023-01-16,512620
2023-01-17,537334
2023-01-18,554173
2023-01-19,673867
2023-01-20,677522
2023-01-21,753393
2023-01-22,656232
2023-01-23,553723
2023-01-24,552237
2023-01-25,661559
2023-01-26,632899
2023-01-27,700967
2023-01-28,744051
2023-01-29,621116
2023-01-30,511622
2023-01-31,560413
2023-02-01,584227
2023-02-02,621124
2023-02-03,799409
2023-02-04,804683
2023-02-05,612745
2023-02-06,529181
2023-02-07,561482
2023-02-08,578766
2023-02-09,619433
2023-02-10,706154
2023-02-11,765286
2023-02-12,685333
2023-02-13,544425
2023-02-14,618860
2023-02-15,590594
2023-02-16,616781
2023-02-17,726187
2023-02-18,735054
2023-02-19,638364
2023-02-20,499791
2023-02-21,540786
2023-02-22,592990
2023-02-23,633278
2023-02-24,723368
2023-02-25,811023
2023-02-26,650128
2023-02-27,567393
2023-02-28,604126
2023-03-01,615722
2023-03-02,645094
2023-03-03,753888
2023-03-04,806794
2023-03-05,673386
2023-03-06,552895
2023-03-07,615592
2023-03-08,633940
2023-03-09,659668
2023-03-10,761502
2023-03-11,780623
2023-03-12,648985
2023-03-13,616647
2023-03-14,634170
2023-03-15,645969
2023-03-16,663850
2023-03-17,733044
2023-03-18,799246
2023-03-19,670724
2023-03-20,547363
2023-03-21,558815
2023-03-22,584878
2023-03-23,631618
2023-03-24,693451
2023-03-25,789522
2023-03-26,627756
2023-03-27,564788
2023-03-28,556252
2023-03-29,592789
2023-03-30,649854
2023-03-31,704714
2023-04-01,776062
2023-04-02,653844
2023-04-03,544490
2023-04-04,565852
2023-04-05,613499
2023-04-06,582458
2023-04-07,647897
2023-04-08,692283
2023-04-09,613119
2023-04-10,492774
2023-04-11,517798
2023-04-12,562040
2023-04-13,622587
2023-04-14,714602
2023-04-15,757165
2023-04-16,625340
2023-04-17,533697
2023-04-18,569725
2023-04-19,594027
2023-04-20,639830
2023-04-21,674369
2023-04-22,769232
2023-04-23,650694
2023-04-24,530777
2023-04-25,560399
2023-04-26,603972
2023-04-27,648855
2023-04-28,772888
2023-04-29,880842
2023-04-30,733786
2023-05-01,559797
2023-05-02,592698
2023-05-03,613847
2023-05-04,659578
2023-05-05,735071
2023-05-06,791076
2023-05-07,633720
2023-05-08,541472
2023-05-09,569356
2023-05-10,604270
2023-05-11,662010
2023-05-12,729495
2023-05-13,777477
2023-05-14,679597
2023-05-15,566387
2023-05-16,608479
2023-05-17,646808
2023-05-18,675601
2023-05-19,737200
